#RunID,ClientID,MsgCount,MsgBytes,MsgsPerSec,BytesPerSec,DurationSecs
Zfcc3SIh2HrTalDumxJhnz,S0,8194,1048576,93019,23813044.383003,0.044034
Zfcc3SIh2HrTalDumxJhnz,P0,8192,1048576,94991,24317928.078093,0.043119
