#RunID,ClientID,MsgCount,MsgBytes,MsgsPerSec,BytesPerSec,DurationSecs
D6CnWwJnARz1P4siNFzqv6,S0,4102,1048576,92699,23731053.253331,0.044186
D6CnWwJnARz1P4siNFzqv6,P0,8192,1048576,96200,24627351.876687,0.042578
